pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_dist,sy_gaiamag
Kepler-1388 b,Kepler-1388,1,1,4,Transit,2016,Kepler,12.28546030,,2.590,,,,,,4098.00,0.61,0.63,0.020,[Fe/H],4.67,453.7950000,16.2941000
Kepler-1388 c,Kepler-1388,1,1,4,Transit,2016,Kepler,5.53608151,,2.260,,,,,,4098.00,0.61,0.63,0.020,[Fe/H],4.67,453.7950000,16.2941000
Kepler-1388 d,Kepler-1388,1,1,4,Transit,2016,Kepler,20.95681580,,2.860,,,,,,4098.00,0.61,0.63,0.020,[Fe/H],4.67,453.7950000,16.2941000
Kepler-1388 e,Kepler-1388,1,1,4,Transit,2016,Kepler,37.63270840,,2.460,,,,,,4098.00,0.61,0.63,0.020,[Fe/H],4.67,453.7950000,16.2941000
Kepler-1389 b,Kepler-1389,1,1,1,Transit,2016,Kepler,99.25309510,,1.770,,,,,,5078.00,0.74,0.81,-0.140,[Fe/H],4.61,497.0930000,14.6836000
Kepler-139 b,Kepler-139,1,1,2,Transit,2014,Kepler,15.77104400,0.127000,2.940,,,,,,5594.00,1.30,,,,4.25,391.0380000,12.6770000
Kepler-139 c,Kepler-139,1,1,2,Transit,2014,Kepler,157.07287800,0.586000,3.380,,,,,,5594.00,1.30,,,,4.25,391.0380000,12.6770000
Kepler-1390 b,Kepler-1390,1,1,1,Transit,2016,Kepler,6.48021673,,1.180,,,,,,5753.00,0.98,0.98,-0.010,[Fe/H],4.45,723.4310000,14.4022000
Kepler-1391 b,Kepler-1391,1,1,1,Transit,2016,Kepler,54.40923330,,1.680,,,,,,5840.00,1.10,1.03,0.040,[Fe/H],4.36,1038.3500000,13.8283000
Kepler-1392 b,Kepler-1392,1,1,1,Transit,2016,Kepler,15.14103970,,1.960,,,,,,5479.00,0.85,0.88,-0.110,[Fe/H],4.53,,15.6665000
Kepler-1393 b,Kepler-1393,1,1,1,Transit,2016,Kepler,2.44357812,,0.800,,,,,,5697.00,0.92,0.95,-0.090,[Fe/H],4.50,544.4560000,13.3324000
Kepler-1394 b,Kepler-1394,1,1,1,Transit,2016,Kepler,3.93766373,,1.390,,,,,,6481.00,2.55,1.64,0.060,[Fe/H],3.84,640.4090000,11.7144000
Kepler-1395 b,Kepler-1395,1,1,1,Transit,2016,Kepler,3.78470649,,0.800,,,,,,6138.00,1.23,1.17,0.120,[Fe/H],4.33,492.8940000,12.5360000
Kepler-1396 b,Kepler-1396,1,1,1,Transit,2016,Kepler,18.22064210,,2.070,,,,,,6195.00,1.27,1.18,0.040,[Fe/H],4.30,1066.4600000,14.5271000
Kepler-1397 b,Kepler-1397,1,1,1,Transit,2016,Kepler,47.44995500,,1.720,,,,,,6026.00,1.12,1.09,0.000,[Fe/H],4.37,1198.2500000,14.0909000
Kepler-1398 b,Kepler-1398,1,1,2,Transit,2016,Kepler,2.78815679,,0.900,,,,,,6126.00,1.18,1.13,0.010,[Fe/H],4.34,852.2040000,13.6605000
Kepler-1398 c,Kepler-1398,1,1,2,Transit,2016,Kepler,4.13827595,,1.030,,,,,,6126.00,1.18,1.13,0.010,[Fe/H],4.34,852.2040000,13.6605000
Kepler-1399 b,Kepler-1399,1,1,1,Transit,2016,Kepler,1.63865306,,1.250,,,,,,5735.00,0.96,0.97,-0.030,[Fe/H],4.47,1385.7000000,15.5074000
Kepler-14 b,Kepler-14,1,2,1,Transit,2011,Kepler,6.79012300,,12.733,2669.66000,0.035000,,,,6395.00,2.05,1.51,0.120,[Fe/H],3.99,,
Kepler-140 b,Kepler-140,1,1,2,Transit,2014,Kepler,3.25427000,0.045000,1.610,,,,,,6077.00,1.29,,,,4.27,583.8590000,12.9412000
Kepler-140 c,Kepler-140,1,1,2,Transit,2014,Kepler,91.35328200,0.414000,1.800,,,,,,6077.00,1.29,,,,4.27,583.8590000,12.9412000
Kepler-1400 b,Kepler-1400,1,1,1,Transit,2016,Kepler,9.06689421,,1.620,,,,,,5044.00,0.78,0.83,0.040,[Fe/H],4.58,752.2370000,15.7129000
Kepler-1401 b,Kepler-1401,1,1,1,Transit,2016,Kepler,11.20066445,,1.680,,,,,,5964.00,1.10,1.07,0.040,[Fe/H],4.39,1425.4300000,14.9721000
Kepler-1402 b,Kepler-1402,1,1,1,Transit,2016,Kepler,2.03387914,,0.760,,,,,,5416.00,0.87,0.90,0.030,[Fe/H],4.53,1493.6400000,14.6083000
Kepler-1403 b,Kepler-1403,1,1,1,Transit,2016,Kepler,5.19492202,,2.140,,,,,,6060.00,1.15,1.11,0.030,[Fe/H],4.36,2163.9000000,15.5907000
Kepler-1404 b,Kepler-1404,1,1,1,Transit,2016,Kepler,15.93147390,,2.010,,,,,,5261.00,0.80,0.84,-0.090,[Fe/H],4.56,962.1830000,15.7029000
Kepler-1405 b,Kepler-1405,1,1,1,Transit,2016,Kepler,28.22741840,,3.960,,,,,,5925.00,1.07,1.05,0.030,[Fe/H],4.40,1530.3000000,15.8175000
Kepler-1406 b,Kepler-1406,1,1,1,Transit,2016,Kepler,11.62905828,,1.100,,,,,,5892.00,1.12,1.05,0.040,[Fe/H],4.36,572.4030000,13.3819000
Kepler-1407 b,Kepler-1407,1,1,1,Transit,2016,Kepler,20.07115040,,2.250,,,,,,6010.00,1.15,1.10,0.050,[Fe/H],4.36,1396.4100000,14.8925000
Kepler-1408 b,Kepler-1408,1,1,1,Transit,2016,Kepler,2.99793191,,0.890,,,,,,6170.00,1.35,1.21,0.000,[Fe/H],4.25,535.0480000,11.9622000
Kepler-1409 b,Kepler-1409,1,1,1,Transit,2016,Kepler,0.76486493,,1.040,,,,,,5160.00,0.79,0.83,-0.030,[Fe/H],4.57,694.8900000,15.1720000
Kepler-141 b,Kepler-141,1,1,2,Transit,2014,Kepler,3.10767500,0.039000,0.690,,,,,,4910.00,0.79,,,,4.57,301.1830000,13.4205000
Kepler-141 c,Kepler-141,1,1,2,Transit,2014,Kepler,7.01060600,0.067000,1.410,,,,,,4910.00,0.79,,,,4.57,301.1830000,13.4205000
Kepler-1410 b,Kepler-1410,1,1,1,Transit,2016,Kepler,60.86616800,,1.780,,,,,,4092.00,0.60,0.63,0.010,[Fe/H],4.67,,15.9484000
